                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.6087,                0.97385,                 1.3136,                0.83537,                0.58164,                0.63729,                0.33762,                 1.9949,                 1.3102,                 1.6749,              0.0096119,              0.0096119,              0.0096119
                    100,                 1.6067,                0.97095,                 1.3045,                0.89124,                 0.5688,                0.63004,                0.31948,                 2.0501,                 1.4647,                 1.7203,               0.009608,               0.009608,               0.009608
                    101,                 1.6059,                0.97143,                 1.3002,                0.88546,                0.55754,                0.60794,                0.31143,                 2.0905,                 1.4634,                 1.7891,               0.009604,               0.009604,               0.009604
                    102,                 1.6021,                0.98092,                 1.3092,                0.82187,                0.49784,                0.56443,                0.31902,                 2.0954,                 1.3513,                 1.7726,                 0.0096,                 0.0096,                 0.0096
                    103,                 1.6256,                0.99021,                 1.3076,                0.79569,                0.58259,                0.62608,                0.34622,                 2.1179,                 1.3799,                 1.7734,              0.0095961,              0.0095961,              0.0095961
                    104,                 1.5856,                0.94688,                 1.2938,                0.89603,                0.57447,                 0.6374,                0.33855,                  2.117,                 1.3088,                   1.77,              0.0095921,              0.0095921,              0.0095921
                    105,                 1.6075,                0.97348,                 1.3132,                0.87582,                0.52376,                0.63139,                0.32509,                 2.0972,                 1.3669,                 1.7483,              0.0095882,              0.0095882,              0.0095882
                    106,                 1.5858,                0.96418,                  1.301,                0.54434,                0.56301,                  0.555,                0.30375,                 2.0892,                 1.4479,                 1.7542,              0.0095842,              0.0095842,              0.0095842
                    107,                  1.569,                 0.9441,                   1.29,                0.86903,                 0.5761,                0.62649,                 0.3413,                 2.0919,                 1.4186,                 1.7522,              0.0095802,              0.0095802,              0.0095802
                    108,                 1.6157,                0.95965,                 1.3072,                0.63423,                0.57599,                0.63242,                 0.3401,                 1.9371,                 1.3317,                 1.6837,              0.0095763,              0.0095763,              0.0095763
                    109,                  1.595,                0.95381,                 1.3114,                0.58931,                 0.5626,                0.61309,                0.29673,                 2.1099,                 1.4066,                 1.7099,              0.0095723,              0.0095723,              0.0095723
                    110,                  1.599,                0.95939,                 1.3004,                 0.8383,                0.55371,                0.59675,                0.32829,                 2.1403,                 1.4826,                 1.7699,              0.0095684,              0.0095684,              0.0095684
                    111,                   1.59,                0.94616,                 1.3074,                0.74072,                0.57207,                0.57986,                0.30935,                 2.0428,                 1.4118,                 1.7364,              0.0095644,              0.0095644,              0.0095644
